tg,fa
Дифоъ аз муҳити зист,دفاع از محیط زیست
Даврон,دوران
Эркан Петеккая,ارکان پتک‌کایا
Эрна Сулберг,ارنا سولبرگ
Фарибурз Раисдоно,فریبرز رئیس‌دانا
Ҷорҷ Кэдл Прайс,جرج کدل پرایس
Жорж Клемансо,ژرژ کلمانسو
Герҳард Шрёдер,گرهارد شرودر
Дарвозабон (футбол),دروازه‌بان (فوتبال)
Густов Ҳойнимон,گوستاو هاینمان
Гулбен Эрген,گلبن ارگن
Гӯркон Уйгун,گورکان اویگون
Ҳалук Билгинар,هالوک بیلگینر
Уқоби ҳорпӣ,عقاب هارپی
Ҳазал Филиз Кӯчӯккосе,هازال فیلیز کوچوک‌کوسه
Ҳю Ҷекман,هیو جکمن
Ман худ он сездаҳам,من خود آن سیزدهم
Илир Мета,ایلیر متا
Ҷавоҳирлаъл Неҳру,جواهر لعل نهرو
Ҷеннет Маккардӣ,جنت مک‌کوردی
Камол шаҳр,کمال‌شهر
Руперт Мёрдок,روپرت مرداک
Канора (Марвдашт),کناره (مرودشت)
Қутбобод,قطب‌آباد
Киванч Татлитуғ,کیوانچ تاتلیتوغ
Фурудгоҳи сонтейигу д кмпустло,فرودگاه سانتیاگو د کمپوستلا
Фурудгоҳи фегу-пинодур,فرودگاه فیگو-پینادور
Вилояти Лағмон,ولایت لغمان
Ларейн Нюман,لرین نیومن
Маколей Калкин,مکالی کالکین
Мадҳурӣ Дикшит,مادهوری دیکشیت
Майя Санду,مایا ساندو
Мари,مرو
Мосол,ماسال
Майкл Кейн,مایکل کین
Максӣ Иглесиас,ماکسی ایگلسیاس
Меҳдишаҳр,مهدی‌شهر
Мериан Купер,مریان کوپر
Марйонеҷ,مریانج
Мерт Язиҷиоғлу,مرت یازیجی‌اوغلو
Майкл Бэй,مایکل بی
Майкл Фассбендер,مایکل فاسبندر
Минёнҳо,مینیون‌ها
Мирай Данер,میرای دانر
Молдова,مولداوی
Муртазо Пошоӣ,مرتضی پاشایی
Мурод Далкилич,مراد دالکیلیچ
Масқат,مسقط
Ҷек Ма,جک ما
Маймун,میمون
Нахли Тақӣ,نخل تقی
Наргис,نرگس
Нарендра Модӣ,نارندرا مودی
Наталия Орейро,ناتالیا اوریرو
Нозлӣ Толга,نازلی تولگا
Ниҳбандон,نهبندان
Николя Саркозӣ,نیکولا سارکوزی
Нупедия,نیوپدیا
Ӯзбекистон,ازبکستان
Гандмурғ,گندمرغ
Саълаби маймунӣ,ثعلب میمونی
Ордубад,اردوباد
Омударё,آمودریا
Забони ӯзбекӣ,زبان ازبکی
Паланги барфӣ,پلنگ برفی
Паскал (забони барноманависӣ),پاسکال (زبان برنامه‌نویسی)
Гунҷишки тоғӣ,گنجشک تاغی
Гунҷишки синасиёҳ,گنجشک سینه‌سیاه
Пол Анка,پل آنکا
Пелин Бату,پلین باتو
Петре Роман,پتر رومن
Петру Казаку,پترو کازاکو
Гиёҳ,گیاه
Донишгоҳи Принстон,دانشگاه پرینستون
Прачанда,پراچاندا
Қазоқистон,قزاقستان
Қубадлӣ,قبادلی
Раҷив Гандӣ,راجیو گاندی
Рамштайн,رمشتاین
Рэндӣ Вейн,رندی وین
Равонсар,روانسر
Ризо Паҳлавӣ,رضا پهلوی
Ричард Фолтс,ریچارد فولتس
Риёз,ریاض
Роберт Дювал,رابرت دووال
Роберт Патрик,رابرت پاتریک
Рудригу Дутерте,رودریگو دوترته
Роксана Мескида,روکسان مسکیدا
Забони русӣ,زبان روسی
Намояи истинодии улум,نمایه استنادی علوم
Сабзавор,سبزوار
Саид Мӯсо,سعید موسی
Амир Олимхон,امیر عالم‌خان
Салафчегон,سلفچگان
Салмонхон,سلمان خان
Сароён,سرایان
Арабистони Саудӣ,عربستان سعودی
Сегундо Сернадас,سگاندو سرناداس
Салим Байрақдор,سلیم بیرقدار
Сеул,سئول
Сардор (Туркманистон),سردار (ترکمنستان)
Сардор Ортач,سردار ارتاچ
Серкан Кескин,سرکان کسکین
Шоҳрух Хон,شاهرخ خان
Шер Баҳодур Диуба,شیر بهادر دیوبا
Санандаҷ,سنندج
Сингапур,سنگاپور
Сомон Эйр,سامان ایر
Шпрее,شپری
Стив Макквин,استیو مک‌کوئین
Стивен Содерберг,استیون سودربرگ
Сушант Сингҳ Раҷпут,سوشانت سینگ راجپوت
Сушил Куирало,سوشیل کویرالا
Тоҷикистон,تاجیکستان
Тоҷик Эйр,تاجیک ایر
Газ (дарахт),گز (درخت)
Тошканд,تاشکند
Тифлис,تفلیس
Теҳрон,تهران
Тел-Авив,تل‌آویو
Фарзанди обу ҳаво,فرزند آب‌وهوا
Хокистарӣ,خاکستری
Ереван,ایروان
Йеткин Дикинҷилер,یتکین دیکینجیلر
Евлох,یولاخ
Юлдуз Турдиева,یولدوز توردیوا
Забони лурӣ,زبان لری
Зинат Амон,زینت امان
Заррин Текиндор,زرین تکیندر
Зоран Миланович,زوران میلانوویچ
Зоҳидшаҳр,زاهدشهر
Таърихи Бухоро (китоб),تاریخ بخارا (کتاب)
Амалиёти «Барбаросса»,عملیات بارباروسا
Бҳагавадгита,بهگود گیتا
Осор-ул-вузаро,آثار الوزراء
Иброҳим Кутлуай,ابراهیم کوتلوآی
Илкор Калелӣ,ایلکر کاللی
Шаброн,شابران
Юнон,یونان
Кириакос Митсотакис,کیریاکوس میتسوتاکیس
Ёвари Ҳамадонӣ,یاور همدانی
Ёгед,یاگید
Ҷозибаҳои гардишгарӣ,جاذبه‌های گردشگری
Ёкоҳама,یوکوهاما
Ёлётен,یول‌اوتن
Ёрдимлӣ,یاردیملی
Ёсир Арафот,یاسر عرفات
Ёсиҳо,یاسی‌ها
Ёсӯҷ,یاسوج
Ёқут,یاقوت
Ҷонз Таун (Ню-Йорк),جانزتاون، نیویورک
Александр Пушкин,الکساندر پوشکین
Академияи миллии илмҳои Тоҷикистон,آکادمی ملی علم‌های تاجیکستان
Ховар (хабаргузорӣ),خاور (خبرگزاری)
Вяйнё Аалтонен,واینو آلتونن
Аахен,آخن
Обозинҳо,آبازین‌ها
Абакан,آباکان
Абалак,ابلک
Абаркӯҳ,ابرکوه
Абарқудрат,ابرقدرت
Аббос ибни Фирнос,عباس بن فرناس
"Аббособод, Мозандарон",عباس‌آباد (مازندران)
Чарлз Грили Аббот,چارلز گریلی ابوت
Кӯтаҳнавишт,کوته‌نوشت
Абвер,آبور
Абдон Пратс,ابدون پراتس
Бедил,بیدل
Абдулазиз Бутефлиқа,عبدالعزیز بوتفلیقه
Абдулазиз ибн Ҳабтур,عبدالعزیز بن حبتور
Абдулазиз Ҷарод,عبدالعزیز جراد
Абдулазизхон,عبدالعزیزخان
Абдулатифи Филалӣ,عبداللطیف فلالی
Абдулбоқии Табрезӣ,عبدالباقی تبریزی
Абдулилоҳ бин Киран,عبدالاله بن کیران
Абдулкарими Ҷилӣ,عبدالکریم جیلی
Абдуллоҳ Гул,عبدالله گل
Абдуллоҳ Абдуллоҳ,عبدالله عبدالله
Абдуллоҳ Салол,عبدالله السلال
Абдуллоҳ Ибни Сабаъ,عبدالله بن سبا
Абдуллоҳ Иброҳим,عبدالله ابراهیم
Абдуллоҳ ибни Аббос,عبدالله بن عباس
Абдуллоҳ ибни Абдулмутталиб,عبدالله بن عبدالمطلب
Абдуллоҳ ибни Масъуд,عبدالله بن مسعود
Абдуллоҳ ибни Тоҳир,عبدالله بن طاهر
Абдуллоҳ Ҳамдук,عبدالله حمدوک
Абдуллоҳи II Паҳанг,عبدالله پاهانگ
Абдулмалик бин Ҳабилес,عبدالمالک بن حبیلس
Абдулмалик ибни Марвон,عبدالملک بن مروان
Абдулмаҷид Таббӯн,عبدالمجید تبون
Абдулраҳмон Ориф,عبدالرحمن عارف
Абдулсалом Ориф,عبدالسلام عارف
Абдулхайр Қосимов,عبدالخیر قاسموف
Абдулқодир Боҷамол,عبدالقادر باجمال
Абдулқодири Гелонӣ,عبدالقادر گیلانی
Абдулқодири Мароғаӣ,عبدالقادر مراغه‌ای
Абдулҳалим Муазамшоҳ,عبدالحلیم معظم شاه
Абдумалик Баҳорӣ,عبدالملک بهاری
Ободон,آبادان
Абивард,ابیورد
Нилс Ҳенрик Абел,نیلس هنریک آبل
Абел (ибҳомзудоӣ),آبل (ابهام‌زدایی)
Абел Агилар,آبل آگیلار
Абел Балбо,ابل بالبو
Абел Брага,آبل براگا
Абел Масуэро,آبل ماسوئرو
Абел Молинеро,ابل مولینرو
Абел Моралехо,آبل مورالخو
Абел Ресино,ابل رسینو
Абел Сеговия,ابل سگوویا
Абел Тасман,آبل تاسمان
Абел Эрнандес,آبل ارناندس
Абзорак,ابزارک
Абидос,ابیدوس
Абинск,آبینسک
Абишхотун,ابش خاتون
Гӯрхар,گورخر
Абоқохон,اباقا خان
Абр,ابر
Абраҳам Линколн,آبراهام لینکلن
Абраҳам Минеро,آبراهام مینرو
Абрешим,ابریشم
Абри оорт,ابر اورت
Аброҷу-л-Байт,ابراج البیت
Абрӯ,ابرو
Ҳунари интизоъӣ,هنر انتزاعی
Абузабӣ,ابوظبی
Ибни Сино,ابن سینا
Исмоили Сомонӣ,اسماعیل سامانی
Рӯдакӣ,رودکی
Сулаймон ибни Абдулмалик,سلیمان بن عبدالملک
Ибни Ҳайсам,ابن هیثم
Абуалӣ Балъамӣ,ابوعلی بلعمی
Абубакр Зайналобиддин Абдулкалом,ابوبکر زین‌العابدین عبدالکلام
Абубакр ибни Арабӣ,ابوبکر بن العربی
Абубакри Байҳақӣ,ابوبکر بیهقی
Абубакри Караҷӣ,ابوبکر کرجی
Наршахӣ,نرشخی
Абудардо,ابودردا
Абузайди Балхӣ,ابوزید بلخی
Абулаббоси Рабанҷанӣ,ابوالعباس ربنجنی
Абулбаракоти Бағдодӣ,ابوالبرکات بغدادی
Абулкаломи Озод,ابوالکلام آزاد
Абулқосим Лоҳутӣ,ابوالقاسم لاهوتی
Фирдавсӣ,فردوسی
Фозил Назарӣ,فاضل نظری
Абулфазли Байҳақӣ,ابوالفضل بیهقی
Абулфазли Балъамӣ,ابوالفضل بلعمی
Абулфараҷи Исфаҳонӣ,ابوالفرج اصفهانی
Абулфидо,ابوالفدا
Абулғозӣ Баҳодурхон,ابوالغازی بهادرخان
Абулҳавл,ابوالهول
Ибни Раббани Табарӣ,ابن ربن طبری
Ибни Юнус,ابن یونس
Абулҳасани Харақонӣ,ابوالحسن خرقانی
Абумаъшари Балхӣ,ابومعشر بلخی
Абумуслими Хуросонӣ,ابومسلم خراسانی
Форобӣ,فارابی
Абусаид Абулхайр,ابوسعید ابوالخیر
Абусимбал,ابوسمبل
Абусулаймон Банокатӣ,ابوسلیمان بناکتی
Абуъубайди Ҷузҷонӣ,ابوعبید جوزجانی
Абушакури Балхӣ,ابوشکور بلخی
Абушуайби Ҳиравӣ,ابوشعیب هروی
Абуяъқуби Сиҷистонӣ,ابویعقوب سجستانی
Абуҷа,آبوجا
Абуҷаъфар Хозини Хуросонӣ,ابوجعفر خازن خراسانی
Абяк,آبیک
Абҳай Деол,آبهای دئول
Абҳар,ابهر
Абӯсалики Гургонӣ,ابوسلیک گرگانی
Абӯюсуфи Киндӣ,ابویوسف کندی
Авалиҳо,اولی‌ها
Аванос,آوانوس
Авесто,اوستا
Аватар (2009 филм),آواتار (فیلم ۲۰۰۹)
Август Бебел,آگوست ببل
Августин,آگوستین
Августо Батала,آگوستو باتالا
Августо Маингуйягуэ,آگوستو ماینگویاگ
Августо Сезар Морейра,آگوستو سزار موریرا
Августо Солари,آگوستو سولاری
Аверон,آویرون
Забони авестоӣ,زبان اوستایی
Ҳавонавардӣ,هوانوردی
Ҳавонавардии ғайринизомӣ,هوانوردی غیرنظامی
Ҳавонавардии низомӣ,هوانوردی نظامی
Авитаминоз,آویتامینوز
Авлиё Чалабӣ,اولیا چلبی
Амедео Авогадро,آمدئو آووگادرو
Авокодо,آووکادو
Авомфиребӣ,عوام‌فریبی
Аврангзеб,اورنگ‌زیب
Аврангобод,اورنگ‌آباد
Аврат,عورت
Аврора (ширкати ҳавопаймоӣ),آورورا (شرکت هواپیمایی)
Авруосиё,اوراسیا
Аврупо,اروپا
Аврупои Шарқӣ,اروپای شرقی
Австралия (филм),استرالیا (فیلم ۲۰۰۸)
Бумиёни Австралия,بومیان استرالیا
Утриш,اتریش
Автобус,اتوبوس
Автоклав,اتوکلاو
Худкорсозӣ,خودکارسازی
Худрав,خودرو
Мухторияти Туркистон,مختاریات ترکستان
Авторадиография,اتورادیوگرافی
Иқтидоргароӣ,اقتدارگرایی
Ройгонсаворӣ,رایگان‌سواری
Автотрансформатор,اتوترانسفورماتور
Агартала,آگارتالا
Агата Кристӣ,آگاتا کریستی
Хабаргузорӣ,خبرگزاری
Агидел,آگیدل
Агнита,اگنیت
Надонамгароӣ,ندانم‌گرایی
Агранулоситоз,آگرانولوسیتوز
Кишоварзӣ,کشاورزی
Агриз,آگریز
Барзшиносӣ,برزشناسی
Муҳандисии кишоварзӣ,مهندسی کشاورزی
Агус Медина,اگوس مدینا
Агустин Абадия,اگوستین ابادیا
Агустин Адорни,آگوستین آدورنی
Агустин Алаес,آگوستین آلیس
Агустин Балбуэна,آگوستین بالبوئنا
Агустин Баттипиэди,آگوستین باتیپیدی
Агустин Валидо,آگوستین ولیدو
Агустин Вилар,اگوستین ویلار
Агустин Делгадо,آگوستین دلگادو
Агустин Ируста,آگوستین ایروستا
Агустин Коусилас,آگوستین کوسیلاس
Агустин Ланата,آگوستین لاناتا
Агустин Ластагарай,آگوستین لاستاگارای
Агустин Ортега,آگوستین اورتگا
Агустин Пелетиэри,آگوستین پلتیری
Агустин Санчо,آگوستین سانچو
Агустин Сауто Арана,آگوستین سائوتو آرانا
Агустин Силва,آگوستین سیلوا
Агустин Фаряс,آگوستین فاریاس
Агустин Фонтана,آگوستین فونتانا
Агустин Хара,آگوستین خارا
Агустин Эйсагирре,آگوستین ایساگیرره
Агустин Элдуаен,اگوستین الداین
Ада Лавлейс,ایدا لاولیس
Адаб,ادب
Адабиёт,ادبیات
Адабиёти Маҳҷар,ادبیات مهجر
Достони корогоҳӣ,داستان کارآگاهی
Адабиёти русӣ,ادبیات روسی
Адад,عدد
Адади Авогадро,عدد آووگادرو
Адалберт Корпонай,ادالبرت کورپونای
Адалберто Пеняранда,آدالبرتو پنیاراندا
Адалто Батиста Да Силва,آدالتو باتیستا دا سیلوا
Адам Опел,آدام اوپل
Адам Смит,آدام اسمیت
Жак Адамар,ژاک آدامار
Адамсит,آدامسیت
Адан Гурдиел,ادان گوردیل
Одоно,آدانا
Адапазари,آداپازاری
Аделаида,آدلاید
Адемар Канавеси,آدمار کاناوسی
Аденозин,آدنوزین
Аденома,آدنوم
Адерлан Сантос,آدرلان سانتوس
Адерлан Силва,آدرلان سیلوا
Адиб Шишаклӣ,ادیب شیشکلی
Адиби Пешоварӣ,ادیب پیشاوری
Адибулмамолики Фароҳонӣ,ادیب‌الممالک فراهانی
Адигейск,آدیگیسک
Адинамия,آدینامیا
Адитя Панчолӣ,آدیتای پانچولی
Адитя Рой Капур,آدیتیا روی کاپور
Одиёмон,آدیامان
Аднон Очeли,عدنان اوچلی
Адолат,عدالت
Адолати иҷтимоӣ,عدالت اجتماعی
Адолф Ҳитлер,آدولف هیتلر
Адолфо Алдана,آدولفو آلدانا
Адолфо Болеа,ادولفو بولیا
Адолфо Мачадо,آدولفو ماچادو
Адолфо Миранда,ادولفو میراندا
Адрасмон,ادرسمان
Адреналин,آدرنالین
Адри Кастелано,ادری کاستلانو
Адриа Гранел,آدریا گرانل
Адриа Кармона,آدریا کارمونا
Адриан Авалос,آدریان آوالوس
Адриан Бастия,آدریان باستیا
Адриан Бербия,آدرین بربیا
Адриан Далмау,آدرین دالمائو
Адриан Доменек,آدریان دومنک
Адриан Калело,آدریان کاللو
Адриан Кория,آدریان کوریا
Адриан Кубас,آدریان کوباس
Адриан Лусеро,آدریان لوسرو
Адриан Маия,آدریان محیا
Адриан Моуринйо,ادریان مورینیو
Адриан Ортола,آدریان اورتولا
Адриан Пералта,آدریان پرالتا
Адриан Рамос,آدریان راموس
Адриан Руэлас,آدریان رولس
Адриан Спорле,آدریان اسپورل
Адриан Тринидад,آدریان ترینیداد
Адриана Кампос,آدریانا کامپوس
Адрианиню,آدریانینیو
Адриано Басо,آدریانو باسو
Адриано Виейра Лозада,آدریانو ویرا لوزادا
Адриано Габиру,آدریانو گابریو
Адриано Де Лима,آدریانو دی لیما
Адриано Росато,آدریانو روساتو
Адриано Ферейра Пинто,آدریانو فریرا پینتو
Адриано Франсиско,آدریانو فرانسیسکو
Адриано Челентано,آدریانو چلنتانو
Адриен Гонйи,ادرین گونی
Адрян,ادیریان
Адряно Саманиего,آدریانو سامانیگو
Аждаҳо,اژدها
Эден Азар,ادن آزار
Азиз Несин,عزیز نسین
Самт (ситорашиносӣ),سمت (ستاره‌شناسی)
Гигантҳо,گیگانت‌ها
Ғулпайкарӣ,غول‌پیکری
Азно,ازنا
Азозил,عزازیل
Азон,اذان
Азотобактер,ازتوباکتر
Азрақии Ҳиравӣ,ازرقی هروی
Азроил,عزرائیل
Азуга,ازوگا
Азурит,آزوریت
Ҳодис,هادس
Аизул,آیزول
Ай ёрум биё,ای یارم بیا
Айбасти,آی‌باستی
Айвалик,آیوالیک
Тоқи Кисро,طاق کسری
Айдаҳо,آیداهو
Айдомаҷоре,ایداماجیور
Оиша Токиё,آیشا تاکیا
Айлоқ,ییلاق
Аймар Моратала,ایمار موراتالا
Айнажӣ,آیناژی
Айнак,عینک
Айнулқузоти Ҳамадонӣ,عین‌القضات همدانی
Айс Кюб,آیس کیوب
Айс Ранвей,آیس رانوی
Кӯҳи яхӣ,کوه یخی
Айтор Бланко,ایتور بلانکو
Айтор Бунйуэл,آیتور بونوئل
Айтор Гарсия,ایتور گارسیا
Айтор Канталапиедра,آیتور کانتالاپیدرا
Айтор Каранка,آیتور کارانکا
Айтор Касас,ایتور کاساس
Айтор Осио,ایتور اوسیو
Айтор Рамос,ایتور راموس
Айтор Сегин,ایتور سگین
Айтор Торнавака,ایتور تورناواکا
Айтор Эмбела,ایتور امبلا
Айча Айшин Турон,آیچا آیشین توران
Айшвария Рай,آیشواریا رای
Айюбиён,ایوبیان
Айёми ташриқ,ایام تشریق
Ак-Довурак,آک-دوووراک
Фарҳангистон,فرهنگستان
Академияи илмҳо ва ҳунарҳои синамо,آکادمی علوم و هنرهای سینما
Академияи Афлотун,آکادمی افلاطون
Донишгоҳи Гундишопур,دانشگاه گندی‌شاپور
Фарҳангистони улуми Фаронса,فرهنگستان علوم فرانسه
Акбаршоҳ Искандаров,اکبرشاه اسکندرف
Аквариум,آکواریوم
Акира Куросава,آکیرا کوروساوا
Фурудгоҳи Акита,فرودگاه اکیتا
Акри,اکری
Акридин,آکریدین
Акриламид,آکریل‌آمید
Акролеин,آکرولئین
Акромегалия,آکرومگالی
Саҳм,سهم
Аксон,آکسون
Дороӣ,دارایی
Актиноидҳо,آکتینیدها
Актинолит,اکتینولیت
Актиномикоз,اکتینومیکوز
Акшай Кумар,آکشی کومار
Донишгоҳи Ал-Азҳар,دانشگاه الازهر
Ал-Аламайн,العلمین
Кувайт (шаҳр),کویت (شهر)
Ихвону-л-муслимин,اخوان‌المسلمین
Анфол,انفال
Балад,بلد
Мунофиқун,منافقون
Алабама,آلاباما
Алагир,آلاگیر
Алагоас,آلاگواس
Аладар Геревич,الادار گرویچ
Алан Акяр,آلن آکیار
Алан Арарио,آلن آراریو
Алан Баро,الن بارو
Алан Патрик,آلان پاتریک
Алан Сантос,آلان سانتوس
Алан Тюринг,آلن تورینگ
Аланин,آلانین
Алапаевск,آلاپیوسک
Алафкуш,علف‌کش
Алба-Юлия,آلبا ایولیا
Алба Монтсеррат,آلبا مونتسرات
Албания,آلبانی
"Албания,Ню-Йорк",آلبانی، نیویورک
Албониёиҳо,آلبانیایی‌ها
Албанияи Қафқозӣ,آلبانیای قفقاز
Албер Камю,آلبر کامو
Албер Лебрен,آلبر لوبرن
Алберт Бандура,آلبرت بندورا
Алберт Виванкос,البرت ویوانکوس
Алберт Далмау,البرت دالمائو
Алберт Дорка,البرت دورکا
Алберт Крусат,البرت کراست
Алберт Луке,آلبرت لوکی
Алберт Мантека,البرت مانتکا
Алберт Миравент,البرت میراوینت
Алберт Риера,آلبرت ریرا
Алберт Рока,البرت روکا
Алберт Селадес,آلبرت سلادس
Алберт Шестернёв,آلبرت شسترنیوف
Алберт Эйнштейн,آلبرت اینشتین
Алберт Яге,البرت یاگو
Албертин Монтоя,آلبرتین مونتویا
Алберто Акоста,آلبرتو آکوستا
Алберто Ботия,آلبرتو بوتیا
Алберто Буэно,آلبرتو بوئنو
Алберто Валентим,آلبرتو والنتیم
Алберто Варо,البرتو وارو
Алберто Витория,البرتو ویتوریا
Алберто Галатео,آلبرتو گالاتئو
Алберто Гитян,البرتو گوتیان
Алберто Де Ла Белла,البرتو د لا بلا
Алберто Запатер,البرتو زاپایتر
Алберто Карбонел,البرتو کاربونل
Алберто Кароу,آلبرتو کارو
Алберто Кобо,البرتو کوبو
Алберто Лора,البرتو لورا
Алберто Манга,البرتو مانگا
Алберто Марковекчио,آلبرتو مارکووکیو
Алберто Маркос Рей,البرتو مارکوس
Алберто Марсико,آلبرتو مارسیکو
Алберто Мачимбаррена,البرتو ماچیمبارنا
Алберто Монтеагудо,البرتو مونتاگودو
Алберто Ногера,البرتو نوگرا
Алберто Переа,البرتو پیریا
Алберто Прада,البرتو پرادا
Алберто Рендо,آلبرتو رندو
Алберто Сааведра,البرتو ساودرا
Алберто Сериони,آلبرتو سریونی
Алберто Сория,آلبرتو سوریا
Алберто Спенсер,آلبرتو اسپنسر
Алберто Тарантини,آلبرتو تارانتینی
Алберто Торил,البرتو توریل
Алберту Нотуш,آلبرتو ناتوش
Албит,آلبیت
Албом,آلبوم
Албрус,البروس
Албурз,البرز
Алвар Гулстранд,آلوار گالسترند
Алваро Бенито,الوارو بنیتو
Алваро Брачи,الوارو براچی
Алваро Бустос,الوارو بوستوس
Алваро Вадило,الوارو وادیلو
Алваро Вега,الوارو وگا
Алваро Дел Морал,الوارو دل مورال
Алваро Клауси,الوارو کلاوسی
Алваро Лемос,الوارو لموس
Алваро Мас,الوارو ماس
Алваро Медран,آلوارو مدران
Алваро Месегер,الوارو مسیگر
Алваро Месен,الوارو مسین
Алваро Мората,آلوارو موراتا
Алваро Негредо,آلوارو نگردو
Алваро Нобл,آلوارو نوبل
Алваро Ново,الوارو نوو
Алваро Оканя,الوارو اوکانیا
Алваро Перейра,آلوارو پریرا
Алваро Ратон,الوارو راتون
Алваро Рей,الوارو ری
Алваро Рекоба,آلوارو رکوبا
Алваро Рубио,الوارو روبیو
Алваро Саборио,آلوارو سابوریو
Алваро Сантос,آلوارو سانتوس
Алваро Техеро,آلوارو تخرو
Алваро Травер,الوارو تراور
Ориф Алвӣ,عارف علوی
Алгирдас Бразаускас,آلگیرداس برازاوسکاس
Алгол,الگول
Алгол 68,الگول۶۸
Алгоритм,الگوریتم
Алдайр,آلدایر
Алдо Бобадила,آلدو بابودیلا
Алдо Морес,آلدو مورس
Алдо Осорио,آلدو اوسوریو
Алдо Паредес,آلدو پاردس
Алдо Пой,آلدو پوی
Алду Моро,آلدو مورو
Алегӯдарз,الیگودرز
Алейск,آلیسک
Алек Болдуин,الک بالدوین
Алек Дуглас-Ҳоме,آلک داگلاس-هیوم
Алекс Агинага,الکس آگیناگا
Алекс Алегрия,الکس الگریا
Алекс Аряс,الکس اریاس
Алекс Бергантинйос,الکس برگانتیوس
Алекс Беренгер,الکس برنگر
Алекс Гранел,الکس گرانل
Алекс Грималдо,الکس گریمالدو
Алекс Карбонел,الکس کاربونل
Алекс Кастро,الکس کاسترو
Алекс Качо,الکس کاچو
Алекс Кило,الکس کویلو
Алекс Кинтанила,الکس کینتانیلا
Алекс Колорадо,الکس کلرادو
Алекс Кортел,الکس کورتل
Алекс Ломбардеро,الکس لومباردرو
Алекс Мунйос,الکس مونیوس
Алекс Оливейра,آلکس اولیویرا
Алекс Опрей,الکس اوپری
Алекс Паскуал,الکس پاسکوال
Алекс Портило,الکس پورتیلو
Алекс Порфирио Де Лима,آلکس پروفیرو دی لیما
Алекс Ремиро,الکس رمیرو
Алекс Рубио,الکس روبیو
Алекс Фелип,الکس فلیپ
Алекс Элй,الکس الی
Александер Корро,الکساندر کورو
Александер Медина,الکساندر مدینا
Александер Мехия,الکساندر مخیا
Александер Семизян,آلکساندر سمیزیان
Александр Фадеев,آلکساندر فادیف
Александр Балуев,الکساندر بالواو
Александр Богданов,الکساندر بوگدانف
Александр Бородюк,الکساندر بورودیوک
Александр Сухово-Кобилин,آلکساندر سوخاوو-کابیلین
Александр Вучич,الکساندر ووچیچ
Александр Галло,الکساندر گالو
Александр Глазунов,الکساندر گلازونف
Александр Горшков,الکساندر گورشکوف
Александр Градский,الکساندر گرادسکی
Александр Греҳем Белл,الکساندر گراهام بل
Александр Грибоедов,الکساندر گریبایدوف
Александр Гротендик,الکساندر گروتندیک
Александр Дедюшко,الکساندر ددیوشکو
Александр Домогаров,الکساندر داماگارف
Александр Дюма (писар),الکساندر دوما (پسر)
Александр Ерохин,الکساندر یروخین
Александр Куприн,آلکساندر کوپرین
Александр Солженитсин,آلکساندر سولژنیتسین
Александр Карелин,الکساندر کارلین
Александр Кержаков,الکساندر کرژاکوف
Александр Кокко,الکساندر کوکو
